Track Name,Album,Year
A Hard Day's Night,A Hard Day's Night,1964
And I Love Her,A Hard Day's Night,1964
Any Time at All,A Hard Day's Night,1964
Can't Buy Me Love,A Hard Day's Night,1964
I Should Have Known Better,A Hard Day's Night,1964
I'll Be Back,A Hard Day's Night,1964
I'll Cry Instead,A Hard Day's Night,1964
I'm Happy Just to Dance with You,A Hard Day's Night,1964
If I Fell,A Hard Day's Night,1964
Tell Me Why,A Hard Day's Night,1964
Things We Said Today,A Hard Day's Night,1964
When I Get Home,A Hard Day's Night,1964
You Can't Do That,A Hard Day's Night,1964
Because,Abbey Road,1969
Carry That Weight,Abbey Road,1969
Come Together,Abbey Road,1969
Golden Slumbers,Abbey Road,1969
Her Majesty,Abbey Road,1969
Here Comes the Sun,Abbey Road,1969
I Want You (She's So Heavy),Abbey Road,1969
Maxwell's Silver Hammer,Abbey Road,1969
Mean Mr. Mustard,Abbey Road,1969
Octopus's Garden,Abbey Road,1969
Oh! Darling,Abbey Road,1969
Polythene Pam,Abbey Road,1969
She Came In Through the Bathroom Window,Abbey Road,1969
Something,Abbey Road,1969
Sun King,Abbey Road,1969
You Never Give Me Your Money,Abbey Road,1969
Baby's in Black,Beatles for Sale,1964
Eight Days a Week,Beatles for Sale,1964
Every Little Thing,Beatles for Sale,1964
Everybody's Trying to Be My Baby,Beatles for Sale,1964
Honey Don't,Beatles for Sale,1964
I Don't Want to Spoil the Party,Beatles for Sale,1964
I'll Follow the Sun,Beatles for Sale,1964
I'm a Loser,Beatles for Sale,1964
Kansas City/Hey-Hey-Hey-Hey!,Beatles for Sale,1964
Mr. Moonlight,Beatles for Sale,1964
No Reply,Beatles for Sale,1964
Rock and Roll Music,Beatles for Sale,1964
What You're Doing,Beatles for Sale,1964
Words of Love,Beatles for Sale,1964
Act Naturally,Help!,1965
Another Girl,Help!,1965
Dizzy Miss Lizzy,Help!,1965
Help!,Help!,1965
I Need You,Help!,1965
I've Just Seen a Face,Help!,1965
It's Only Love,Help!,1965
The Night Before,Help!,1965
Tell Me What You See,Help!,1965
Ticket to Ride,Help!,1965
Yesterday,Help!,1965
You Like Me Too Much,Help!,1965
You're Going to Lose That Girl,Help!,1965
You've Got to Hide Your Love Away,Help!,1965
Across the Universe,Let It Be,1969
Dig a Pony,Let It Be,1970
Dig It,Let It Be,1970
For You Blue,Let It Be,1970
Get Back,Let It Be,1969
I Me Mine,Let It Be,1970
I've Got a Feeling,Let It Be,1970
Let It Be,Let It Be,1970
Maggie Mae,Let It Be,1970
One After 909,Let It Be,1970
Two of Us,Let It Be,1970
All You Need Is Love,Magical Mystery Tour,1967
"Baby, You're a Rich Man",Magical Mystery Tour,1967
Blue Jay Way,Magical Mystery Tour,1967
Flying,Magical Mystery Tour,1967
"Hello, Goodbye",Magical Mystery Tour,1967
I Am the Walrus,Magical Mystery Tour,1967
Magical Mystery Tour,Magical Mystery Tour,1967
Your Mother Should Know,Magical Mystery Tour,1967
Strawberry Fields Forever,Magical Mystery Tour,1967
Penny Lane,Magical Mystery Tour,1967
